title,region,number_of_rooms,quadrat,date,price
Banes me qira Mrapa Teatrit Kombetare 2+1,Prishtine,2,100m 2,10/07/2023,300 €
Banes me qira ne Dardani 3+1,Prishtine,3,100m 2,10/07/2023,300 €
Banes moderne me qira te Sllovenia Sporti,Prishtine,2,80m 2,10/07/2023,300 €
Banes moderne me qira ne Lagje te Spitalit,Prishtine,2,80m 2,10/07/2023,280 €
Banes me qira ne Arberi-Komuna e re,Prishtine,1,60m 2,10/07/2023,300 €
Leshohet me qira super banese ne lagjen Dardania,Prishtine,5,140m 2,10/07/2023,800 €
Ipet banese me qira te rruga B,Prishtine,2,90m 2,10/07/2023,220 €
Leshohet banese me qira ne lagjen Dardania,Prishtine,2,75m 2,10/07/2023,300 €
Super banese me qira ne lagjen Pejton,Prishtine,2,80m 2,10/07/2023,450 €
Leshohet banese me qira ne lagjen e Muhaxherve,Prishtine,1,60m 2,10/07/2023,250 €
Super banese me qira ne lagjen e Spitalit,Prishtine,2,106m 2,10/07/2023,500 €
Leshohet banese me qira te Qafa,Prishtine,2,85m 2,10/07/2023,270 €
Leshohet banese me qira afer parkut te qytetit,Prishtine,2,75m 2,10/07/2023,250 €
Leshohet banese me qira ne Lagjen e Spitalit,Prishtine,1,73m 2,10/07/2023,250 €
Banese me qira ne Lagjen e Spitalit,Prishtine,1,60m 2,10/07/2023,250 €
Banes 3 Dhomshe me Qira ne Tophane,Prishtine,3,100m 2,10/07/2023,550 €
Leshohet me qira banesa ne lagjen Mati 1,Prishtine,1,55m 2,10/07/2023,220 €
Super banese me qira ne Qender,Prishtine,3,130m 2,10/07/2023,700 €
Banese me qira te Parku i qytetit,Prishtine,1,70m 2,10/07/2023,250 €
Banes Komode me Qira ne Mat te Super Viva 2,Prishtine,1,72m 2,10/07/2023,350 €
Banese ( garsoniere ) me qira ne lagjen Mati 1,Prishtine,1,45m 2,10/07/2023,200 €
Ipet banese me qira ne lagjen Pejton,Prishtine,2,73m 2,10/07/2023,380 €
Leshohet banese me qira ne lagjen Arberia,Prishtine,2,95m 2,10/07/2023,350 €
Leshohet banese me qira ne lagjen Ulpiana,Prishtine,2,72m 2,10/07/2023,250 €
Super banese me qira ne lagjen Lakrishte,Prishtine,1,60m 2,10/07/2023,300 €
Banes Komode me Qira ne Arberi Afer Qafes te Pandora,Prishtine,2,85m 2,10/07/2023,350 €
Leshohet banese me qira ne Qender,Prishtine,2,75m 2,10/07/2023,400 €
Leshohet banese me qira ne Lagjen e Spitalit,Prishtine,1,65m 2,10/07/2023,250 €
Leshohet banese me qira ne Qender,Prishtine,1,50m 2,10/07/2023,250 €
Banese me qira ( per zyre ) ne Qender,Prishtine,1,54m 2,10/07/2023,300 €
Banese me qira ne Qender,Prishtine,3,100m 2,10/07/2023,350 €
Super banese me qira ne Rrugen B,Prishtine,2,90m 2,10/07/2023,400 €
Banese ( garsoniere ) me qira te Bregu i diellit,Prishtine,1,35m 2,10/07/2023,200 €
Ipet banese me qira ne lagjen Bregu i diellit,Prishtine,2,75m 2,10/07/2023,300 €
Banes me qira ne Qender 2+1,Prishtine,2,80m 2,10/07/2023,400 €
Banese me qira ne Mati 1,Prishtine,2,76m 2,10/07/2023,300 €
