title,region,number_of_rooms,quadrat,price,date
Banes me qira ne Arberi-Komuna e re,Prishtine,1,60m 2,300 €,10/07/2023
Leshohet me qira super banese ne lagjen Dardania,Prishtine,5,140m 2,800 €,10/07/2023
Ipet banese me qira te rruga B,Prishtine,2,90m 2,220 €,10/07/2023
Leshohet banese me qira ne lagjen Dardania,Prishtine,2,75m 2,300 €,10/07/2023
Super banese me qira ne lagjen Pejton,Prishtine,2,80m 2,450 €,10/07/2023
Leshohet banese me qira ne lagjen e Muhaxherve,Prishtine,1,60m 2,250 €,10/07/2023
Super banese me qira ne lagjen e Spitalit,Prishtine,2,106m 2,500 €,10/07/2023
Leshohet banese me qira te Qafa,Prishtine,2,85m 2,270 €,10/07/2023
Leshohet banese me qira afer parkut te qytetit,Prishtine,2,75m 2,250 €,10/07/2023
Leshohet banese me qira ne Lagjen e Spitalit,Prishtine,1,73m 2,250 €,10/07/2023
Banese me qira ne Lagjen e Spitalit,Prishtine,1,60m 2,250 €,10/07/2023
Banes Komode me Qira ne Mat te Shk.F. Pavarsia,Prishtine,2,90m 2,430 €,10/07/2023
Super Banes me Qira ne Fushe Kosove Perball Bau Marketit,Fushe Kosove,2,76m 2,250 €,10/07/2023
Banes 3 Dhomshe me Qira ne Tophane,Prishtine,3,100m 2,550 €,10/07/2023
Leshohet me qira banesa ne lagjen Mati 1,Prishtine,1,55m 2,220 €,10/07/2023
Super banese me qira ne Qender,Prishtine,3,130m 2,700 €,10/07/2023
Super Banes me Qira ne Aktash te Pika Luxury,Prishtine,1,45m 2,350 €,10/07/2023
Super Banes me Qira ne Dardani te Narteli - 130 M2,Prishtine,2,130m 2,630 €,10/07/2023
Banese me qira te Parku i qytetit,Prishtine,1,70m 2,250 €,10/07/2023
Banes Komode me Qira ne Mat te Super Viva 2,Prishtine,1,72m 2,350 €,10/07/2023
Banese ( garsoniere ) me qira ne lagjen Mati 1,Prishtine,1,45m 2,200 €,10/07/2023
Ipet banese me qira ne lagjen Pejton,Prishtine,2,73m 2,380 €,10/07/2023
Leshohet banese me qira ne lagjen Arberia,Prishtine,2,95m 2,350 €,10/07/2023
Leshohet banese me qira ne lagjen Ulpiana,Prishtine,2,72m 2,250 €,10/07/2023
Super banese me qira ne lagjen Lakrishte,Prishtine,1,60m 2,300 €,10/07/2023
Banes Komode me Qira ne Fushe Kosove Afer Fures Vlora,Fushe Kosove,1,65m 2,190 €,10/07/2023
Banes Komode me Qira ne Arberi Afer Qafes te Pandora,Prishtine,2,85m 2,350 €,10/07/2023
Leshohet banese me qira ne Qender,Prishtine,2,75m 2,400 €,10/07/2023
Leshohet banese me qira ne Lagjen e Spitalit,Prishtine,1,65m 2,250 €,10/07/2023
Leshohet banese me qira ne Qender,Prishtine,1,50m 2,250 €,10/07/2023
Banese me qira ( per zyre ) ne Qender,Prishtine,1,54m 2,300 €,10/07/2023
Banese me qira ne Qender,Prishtine,3,100m 2,350 €,10/07/2023
Super banese me qira ne Rrugen B,Prishtine,2,90m 2,400 €,10/07/2023
Banese ( garsoniere ) me qira te Bregu i diellit,Prishtine,1,35m 2,200 €,10/07/2023
Ipet banese me qira ne lagjen Bregu i diellit,Prishtine,2,75m 2,300 €,10/07/2023
Banes me qira ne Qender 2+1,Prishtine,2,80m 2,400 €,10/07/2023
Banese me qira ne Mati 1,Prishtine,2,76m 2,300 €,10/07/2023
Super banese me qira ne Emshir 3+1,Prishtine,3,115m 2,300 €,10/07/2023
Leshohet banese me qira ne Arberi,Prishtine,1,60m 2,300 €,10/07/2023
Banes me qira ne Mati 1,Prishtine,1,65m 2,200 €,10/07/2023
Leshohet banese me qira ne Arberi 2+1,Prishtine,2,80m 2,350 €,10/07/2023
Leshohet banese me qira te Bregu i Diellit,Prishtine,1,64m 2,190 €,10/07/2023
Leshohet banese me qira ne Emshir,Prishtine,1,55m 2,250 €,10/07/2023
Leshohet banese me qira ne Ulpiane 2+1,Prishtine,2,60m 2,300 €,10/07/2023
Leshohet banese me qira ne Ulpiane 2+1,Prishtine,2,60m 2,300 €,10/07/2023
Leshohet banese me qira ne Ulpiane,Prishtine,2,67m 2,280 €,10/07/2023
Banese me qira ne Breg te Diellit,Prishtine,1,54m 2,200 €,10/07/2023
Banese me qira ne Dardani 2+1,Prishtine,2,70m 2,350 €,10/07/2023
Banese me qira ne Aktash,Prishtine,2,86m 2,250 €,10/07/2023
Leshohet banese me qira ne Bregun e Diellit,Prishtine,1,65m 2,200 €,10/07/2023
Banese me qira ne Dardani ( te Santea ),Prishtine,2,80m 2,270 €,10/07/2023
Ekstra banese me qira te Sllovenia Sporti,Prishtine,2,130m 2,500 €,10/07/2023
Banese me qira ne Arberi 1+1,Prishtine,1,65m 2,280 €,10/07/2023
Banese me qira ne Lagjen e Muhagjerve 1+1,Prishtine,1,61m 2,300 €,10/07/2023
Super Banese me qera ne Arberi,Prishtine,1,55m 2,280 €,10/07/2023
Banes me qira ne Emshir e pa banuar me pare,Prishtine,2,75m 2,350 €,10/07/2023
Banese me qira e renovuar ne Dardani,Prishtine,2,75m 2,250 €,10/07/2023
Banes me qira ne Mati 1,Prishtine,2,75m 2,350 €,10/07/2023
Banese komode me qira ne Dardani,Prishtine,1,65m 2,200 €,10/07/2023
Banese me qira te Sllovenia Sporti 2+1,Prishtine,2,75m 2,350 €,10/07/2023
Banes me qira ne Dardani,Prishtine,1,65m 2,290 €,10/07/2023
Banes komode me qira ne Mati 1,Prishtine,1,63m 2,200 €,10/07/2023
Banes me qira ne Tophane 2+1,Prishtine,2,75m 2,270 €,10/07/2023
Banese moderne me qira ne Ulpiane,Prishtine,2,85m 2,300 €,10/07/2023
Super Oferte 2+1--350 ne ulpiane,Prishtine,2,70m 2,350 €,10/07/2023
Banes me qira ne Qender mobiluar,Prishtine,2,70m 2,330 €,10/07/2023
Banes moderne me qira ne Mati 1,Prishtine,2,75m 2,280 €,10/07/2023
Banes komode me qira ne Breg te Diellit,Prishtine,1,65m 2,350 €,10/07/2023
Banese me qira ne Mati 1 ndertim i ri,Prishtine,1,45m 2,250 €,10/07/2023
Banes me qira ne Emshir (banesat e arabve),Prishtine,1,50m 2,200 €,10/07/2023
Super ofert Banes me qira ne Mati 1 100m2-250,Prishtine,2,100m 2,250 €,10/07/2023
Banese komode me qira ne Breg te Diellit,Prishtine,1,55m 2,250 €,10/07/2023
Banes me qira ne Qender ndertim i ri,Prishtine,2,75m 2,300 €,10/07/2023
Banes me qira ne Dardani komode,Prishtine,1,65m 2,300 €,10/07/2023
Banese me qira ne Lagje te Spitalit 2+1,Prishtine,2,75m 2,250 €,10/07/2023
Banes me qira ne Lagje te Spitalit 2+1,Prishtine,2,75m 2,220 €,10/07/2023
Banese komode me qira ne Breg te Diellit,Prishtine,1,55m 2,230 €,10/07/2023
Banes me qira ne Ulpiane 2+1,Prishtine,2,75m 2,300 €,10/07/2023
Banes moderne me qira ne Emshir,Prishtine,2,90m 2,400 €,10/07/2023
Banes komode me qira ne Dardani,Prishtine,1,60m 2,300 €,10/07/2023
Banes me qira ne Ulpiane e renovuar,Prishtine,1,65m 2,250 €,10/07/2023
Banes ekskluzive me qira te Parku i Qytetit,Prishtine,2,95m 2,700 €,10/07/2023
Banes komode me qira ne Ulpiane,Prishtine,1,55m 2,270 €,10/07/2023
Banes me qira ne Dardani,Prishtine,1,55m 2,250 €,10/07/2023
Banes me qira ne Lagje te Spitalit 2+1,Prishtine,2,75m 2,230 €,10/07/2023
Banes komode me qira ne Lagje te Spitalit,Prishtine,1,60m 2,200 €,10/07/2023
Banes me qira te 4Llullat,Prishtine,1,65m 2,250 €,10/07/2023
Ektsra banese me qira,Prishtine,2,70m 2,350 €,10/07/2023
Banes me qira ne Ulpiane per zyre,Prishtine,1,65m 2,400 €,10/07/2023
Banese me qira ne Lagje te Muhaxhereve,Prishtine,1,50m 2,250 €,10/07/2023
Banes me qira ne Qender afer shkolles Sami Frasheri 2+1,Prishtine,2,75m 2,200 €,10/07/2023
Banes me qira ne Arberi 2+1,Prishtine,2,75m 2,250 €,10/07/2023
Banes me qira ne Ulpiane,Prishtine,1,65m 2,250 €,10/07/2023
Banes me qira ne Qender,Prishtine,2,100m 2,400 €,10/07/2023
Banes komode me qira ne Emshir,Prishtine,2,75m 2,300 €,10/07/2023
Banes me qira ne Dardani te Santea,Prishtine,1,65m 2,200 €,10/07/2023
Banes komode me qira ne Velani,Prishtine,1,65m 2,230 €,10/07/2023
Banes moderne me qira ne Qender- Pejton,Prishtine,2,75m 2,380 €,10/07/2023
Banes me qira ne Rrugen B,Prishtine,2,75m 2,300 €,10/07/2023
Banese me qira ne Lagjen Dardania 1+1,Prishtine,1,75m 2,250 €,10/07/2023
Banes komode me qira ne Lagje te Spitalit,Prishtine,1,60m 2,250 €,10/07/2023
Banes me qira ne Ulpiane,Prishtine,1,65m 2,300 €,10/07/2023
Banes me qira ne Lagje te Spitalit,Prishtine,2,130m 2,200 €,10/07/2023
Leshohet banese me qira ne lagjen Dardania,Prishtine,2,90m 2,300 €,10/07/2023
Banese me qira ne lagjen Dardania,Prishtine,2,82m 2,350 €,10/07/2023
Super banese me qira ne Qender,Prishtine,2,60m 2,500 €,10/07/2023
Ipet banese me qira ne lagjen Ulpiana,Prishtine,1,60m 2,320 €,10/07/2023
Leshohet banese me qira ne lagjen Tophane,Prishtine,1,75m 2,250 €,10/07/2023
Leshohet banese me qira ne lagjen Ulpiana,Prishtine,1,45m 2,250 €,10/07/2023
Leshohet banese me qira ne lagjen Arberia,Prishtine,1,70m 2,330 €,10/07/2023
Banese ( garsoniere ) me qira ne lagjen Arberia,Prishtine,1,45m 2,200 €,10/07/2023
Banese me qira ne lagjen Lakrishte,Prishtine,1,60m 2,250 €,10/07/2023
Leshohet banese me qira ne lagjen Dardania,Prishtine,1,65m 2,300 €,10/07/2023
Leshohet banese me qira ne Qender,Prishtine,1,50m 2,300 €,10/07/2023
Leshohet banese me qira ne lagjen Arberia,Prishtine,2,70m 2,220 €,10/07/2023
Leshohet banese me qira te Sllovenia Sporti,Prishtine,2,80m 2,350 €,10/07/2023
Ipet banese me qira ne lagjen e spitalit,Prishtine,2,70m 2,300 €,10/07/2023
Banese me qira ne lagjen Bregu i diellit,Prishtine,2,70m 2,350 €,10/07/2023
Ofrohet banese me qira ne Qender,Prishtine,2,80m 2,350 €,10/07/2023
Ipet banese me qira ne lagjen Pejton,Prishtine,2,90m 2,450 €,10/07/2023
Ofrohet banese me qira ne lagjen Bregu i diellit,Prishtine,1,60m 2,200 €,10/07/2023
Leshohet banese me qira ne Taslixhe,Prishtine,1,36m 2,200 €,10/07/2023
Leshohet banese me qira ne lagjen Bregu i diellit,Prishtine,1,60m 2,250 €,10/07/2023
Ofrohet banese me qira ne Rrugen B,Prishtine,2,55m 2,250 €,10/07/2023
Super banese me qira ne lagjen Arberia,Prishtine,2,110m 2,500 €,10/07/2023
Banese me qira ne lagjen Dardania,Prishtine,1,55m 2,200 €,10/07/2023
Leshohet banese me qira ne lagjen Bregu i diellit,Prishtine,1,65m 2,250 €,10/07/2023
Banese (garsoniere) me qira ne lagjen Ulpiana,Prishtine,1,30m 2,200 €,10/07/2023
Banese me qira ne lagjen Bregu i diellit,Prishtine,2,100m 2,300 €,10/07/2023
Leshohet banese me qira ne lagjen Ulpiana,Prishtine,1,55m 2,250 €,10/07/2023
Leshohet banese me qira te Qafa,Prishtine,1,50m 2,300 €,10/07/2023
Leshohet banese me qira ne lagjen Dardania,Prishtine,1,58m 2,270 €,10/07/2023
Leshohet banese me qira ne Emshir 1+1,Prishtine,2,85m 2,300 €,10/07/2023
Leshohet banese me qira te Bregu i Diellit 1+1,Prishtine,1,65m 2,250 €,10/07/2023
Leshohet banese me qira ne Ulpiane 1+1,Prishtine,1,50m 2,250 €,10/07/2023
