,title,region,number_of_rooms,quadrat,price,date,Neighborhood
15976,"Banes me qera Dardani 2+1, 280€",Prishtine,2,77m 2,280 €,03/01/2021,Dardania
15977,"Banes me qera Ulpiane 2+1, 380€ me TERMOKOS",Prishtine,2,77m 2,380 €,03/01/2021,Ulpiana
15978,Banes me qera Lakrisht 500 € te Dukagjini Rezidence me TERMOKOS,Prishtine,2,50m 2,500 €,03/01/2021,Lakrishta
15979,Ofrohet me qira Banesa 80m2 ne Dragodan ! DELTA,Prishtine,3,80m 2,300 €,02/01/2021,Arbëria (Dragodani)
15980,Ofrohet me qira Banesa 57m2 ne Dardani ! DELTA,Prishtine,2,57m 2,250 €,02/01/2021,Dardania
15981,Ofrohet me qira Banesa ne Lagjen Lakrishte ! DELTA,Prishtine,4,106m 2,650 €,02/01/2021,Lakrishta
15982,Banese me qira ne Dardani,Prishtine,2,55m 2,330 €,02/01/2021,Dardania
15983,Banese me qira te Mati 1,Prishtine,3,78m 2,300 €,02/01/2021,Ulpiana 1
15984,Banese me qira ne Arberi Dragodan,Prishtine,4,117m 2,500 €,02/01/2021,Arbëria (Dragodani)
15985,Banese me qira te Mati 1,Prishtine,3,85m 2,300 €,02/01/2021,Ulpiana 1
15986,Banese me qira ne Kalabri Emshir,Prishtine,2,55m 2,200 €,02/01/2021,Kalabria
15987,Banese me qira ne Ulpiane,Prishtine,2,55m 2,250 €,02/01/2021,Ulpiana
15988,Lëshohet Banesa Me Qera në Lagje Të Spitalit Tek Kawa Group.,Prishtine,3,80m 2,300 €,01/01/2021,Lagjen e Spitalit
15989,Garsonjere me qira ne Bregun e Diellit,Prishtine,1,45m 2,180 €,01/01/2021,Kodra e Diellit
15990,Banes me qera ne Emshir me TERMOKOS 2+1,Prishtine,2,0m 2,350 €,31/12/2020,Kalabria
15991,"Banes me qera ne Emshir 2+1, 250€",Prishtine,2,275m 2,250 €,30/12/2020,Kalabria
15992,"Banes me qera ne Qender 2+1, 450€",Prishtine,2,100m 2,450 €,30/12/2020,Qendra
15993,Banesa 65m2 me qira te Sllovenia Sport Rozi Patundshmeri,Prishtine,1,65m 2,250 €,30/12/2020,Sllovenia e Sportit
15994,"Banes me qera Ulpiane 1+1, 200€",Prishtine,1,40m 2,200 €,30/12/2020,Ulpiana
15995,"Banes me qera te Muhaxhert 2+1, 220€",Prishtine,2,70m 2,220 €,30/12/2020,
15996,Banesë me qira në Qendër,Prishtine,3,95m 2,450 €,30/12/2020,Qendra
15997,"Banesë me qira Dardani, përball ProCredit Bank📍",Prishtine,5,110m 2,380 €,30/12/2020,Dardania
15998,"Banes me qera ne Lagjen Kalabria ( Emshir ), prane UBT-se #2211",Prishtine,3,75m 2,300 €,30/12/2020,Dardania
15999,"Banese me qera ne Lagjen Arberia ( Dragodan ), prane Cactus-it #2233",Prishtine,2,64m 2,250 €,30/12/2020,Arbëria (Dragodani)
16000,Banese me qira ne Lakrishte,Prishtine,2,65m 2,250 €,30/12/2020,Lakrishta
16001,Banese me qira ne Bregun e Diellit,Prishtine,3,85m 2,200 €,30/12/2020,Kodra e Diellit
16002,Banese me qira ne Arberi Dragodan,Prishtine,3,90m 2,400 €,30/12/2020,Arbëria (Dragodani)
16003,Banese me qira ne Arberi Dragodan,Prishtine,3,85m 2,300 €,30/12/2020,Arbëria (Dragodani)
16004,Banes me qera ne Breg te Diellit 220€,Prishtine,2,77m 2,220 €,29/12/2020,Kodra e Diellit
16005,"Banes me qera Bregu i Diellit 1+1, 220€",Prishtine,1,56m 2,220 €,29/12/2020,Kodra e Diellit
16006,"Banes me qera , 200€ mbrapa Siriusit",Prishtine,1,42m 2,200 €,29/12/2020,Siriusi
16007,Banes me qera Qender te Sllovenia Sportit,Prishtine,2,0m 2,280 €,29/12/2020,Qendra
16008,"Banes me qira ne Aktashë ""M1""",Prishtine,2,55m 2,240 €,29/12/2020,Aktash
16009,Ofrohet për qira banesa (1+1) te ROYALI në rrugën “B” !DELTA,Prishtine,2,70m 2,300 €,29/12/2020,
16010,Banes me qira ne qender te Qafa rr. UÇK (afer Postes) !DELTA,Prishtine,2,50m 2,250 €,29/12/2020,Qendra
16011,Leshoj Banese me Qera,Prishtine,2,57m 2,250 €,28/12/2020,
16012,"Banese me qera ne Lagjen Aktash, prane Ambasades Sllovene #2162",Prishtine,3,100m 2,350 €,28/12/2020,Aktash
16013,"Banesë me qira afer rruges B, tek LORIANO📍",Prishtine,3,80m 2,270 €,28/12/2020,
16014,Banes me qera,Prishtine,1,50m 2,200 €,28/12/2020,
16015,"leshoje banesen me qira vetem per byro, preferojme kontakt direkt qiramarresit. .",Prishtine,3,60m 2,369 €,28/12/2020,
16016,Banesa 80m2 me qira te Bregu I Diellit Rozi Patundshmeri,Prishtine,2,80m 2,250 €,28/12/2020,Kodra e Diellit
16017,Banese me qira te Mati 1,Prishtine,3,75m 2,300 €,28/12/2020,Ulpiana 1
16018,Banese me qira ne Kalabri Emshir,Prishtine,3,87m 2,350 €,28/12/2020,Kalabria
16019,Banese me qira ne Arberi Dragodan,Prishtine,2,60m 2,260 €,28/12/2020,Arbëria (Dragodani)
16020,"Banese me qera ne Lagjen Kalabria ( Emshir ), prane Gjelltores Nazi #222",Prishtine,3,60m 2,300 €,28/12/2020,Dardania
16021,"Banes me qera Mati 1, 2+1, 300€",Prishtine,3,72m 2,300 €,27/12/2020,Ulpiana 1
16022,"Banes me qera ne Rrugen B , 1+1, 230€",Prishtine,2,65m 2,200 €,27/12/2020,Rruga B
16023,"Banes me qera Dardani 1+1, 300€",Prishtine,2,100m 2,300 €,27/12/2020,Dardania
16024,Leshohet banesa me qera tek spitali amerikan rruga e shkupit,Prishtine,1,60m 2,180 €,27/12/2020,
16025,"Banes me qera te Qafa 1+1, 260€",Prishtine,2,65m 2,260 €,27/12/2020,Qafa
16026,"Banes me qera Aktash 1+1, 350€",Prishtine,2,50m 2,350 €,27/12/2020,Aktash
16027,"Banes me qera ne lagjen e Muhaxherve 1+1, 250€",Prishtine,2,70m 2,250 €,27/12/2020,Lagjja e Muhaxherëve
16028,Banesa 80m2 me qira ne Kalabri - Emshir Rozi Patundshmeri,Prishtine,2,80m 2,380 €,26/12/2020,Kalabria
16029,"Banes me qera ne Dragodan 3+1, 500€ te MiniMax",Prishtine,3,106m 2,500 €,25/12/2020,Arbëria (Dragodani)
16030,leshohet me qira banesa ne Ulpiane,Prishtine,2,65m 2,360 €,25/12/2020,Ulpiana
16031,leshohet me qira ne Aktash,Prishtine,1,65m 2,260 €,25/12/2020,Aktash
16032,"Banes me qera Dardani 2+1, 250€",Prishtine,2,77m 2,250 €,25/12/2020,Dardania
16033,Banes me qera ne Dragodan\Arberi 250€,Prishtine,1,0m 2,250 €,25/12/2020,Arbëria (Dragodani)
16034,Ofrohet Banesa Me Qira 70M2 Ne Rrugen B!DELTA,Prishtine,2,70m 2,350 €,25/12/2020,Rruga B
16035,Ofrohet Banesa Me Qira 85M2 Ne Rrugen B!DELTA,Prishtine,3,85m 2,350 €,25/12/2020,Rruga B
16036,Ofrohet banesa me qira ne Lagjen Bregu i Diellit (prane Xhamise) !DELTA,Prishtine,2,50m 2,200 €,25/12/2020,Kodra e Diellit
16037,Ofrohet banesa me qira ne Lagjen Arbëria (Dragodan) !DELTA,Prishtine,2,64m 2,250 €,25/12/2020,Arbëria (Dragodani)
16038,Ofrohet banesa me qira ne Bregun e Diellit (Perball Royall Mall) !DELTA,Prishtine,3,80m 2,220 €,25/12/2020,Kodra e Diellit
16039,Ofrohet Banesa me qira ne Lakrishte (Banesat e Shqiperise) !DELTA,Prishtine,2,74m 2,250 €,25/12/2020,Lakrishta
16040,"Banes me qera Ulpiane 2+1, 250€",Prishtine,4,63m 2,250 €,25/12/2020,Ulpiana
16041,Jap me qera banesen ne Dardani 170 euro,Prishtine,1,40m 2,170 €,25/12/2020,Dardania
16042,Banesa per qera afer Qafes 220 euro,Prishtine,2,65m 2,220 €,25/12/2020,
16043,Ofrohet me qira per Zyre Banesa 50m2 ne Ulpiane ! DELTA,Prishtine,2,50m 2,350 €,25/12/2020,Ulpiana
16044,Leshohet banesa me qera mrapa Teatrit Kombetar,Prishtine,1,60m 2,300 €,25/12/2020,Mrapa Teatrit
16045,LESHOHET SHTEPIA ME QERA AFER TREGUT TE GJELBERT NE PRISHTIN,Prishtine,1,60m 2,200 €,25/12/2020,
16046,"Banese me qera ne Lagjen Arberia ( Dragodan ), prapa Komunes se re#2108",Prishtine,3,80m 2,300 €,25/12/2020,Arbëria (Dragodani)
16047,"Banese me qera ne Lagjen Arberia ( Dragodan ), prane Komunes se Re #2117",Prishtine,3,100m 2,330 €,25/12/2020,Arbëria (Dragodani)
16048,"Banes me qera ne Lagjen Qender, prapa Hotel Sirius #2138",Prishtine,2,50m 2,280 €,25/12/2020,Qendra
16049,"Banese me qera ne Lagjen Arberia ( Dragodan ),prane Five Star #2227",Prishtine,2,71m 2,350 €,25/12/2020,Arbëria (Dragodani)
16050,"Banes me qera Mati 1, rruga B 2+1",Prishtine,2,0m 2,350 €,25/12/2020,Ulpiana 1
16051,Banese me qira te Mati 1,Prishtine,2,55m 2,240 €,25/12/2020,Ulpiana 1
16052,Banese me qira te Rruga B,Prishtine,3,85m 2,350 €,25/12/2020,Rruga B
16053,Banese me qira ne Shesh - Qender,Prishtine,3,85m 2,450 €,25/12/2020,Qendra
16054,Banes me qira Aktash te Ish Davidofi,Prishtine,2,84m 2,350 €,25/12/2020,Aktash
16055,Banesa 45m2 me qira te Bregu I Diellit Rozi Patundshmeri,Prishtine,1,45m 2,200 €,25/12/2020,Kodra e Diellit
16056,Banes me qera ne Dardani 2+1 me Termokos,Prishtine,2,0m 2,300 €,24/12/2020,Dardania
16057,"Banese me qera ne Lagjen Arberia ( Dragoan ), prane Cactus-it #2233",Prishtine,2,64m 2,250 €,24/12/2020,Arbëria (Dragodani)
16058,"Banes me qera ne Lagjen Arberia (Dragodan), banesat e Tregtis #2165",Prishtine,3,83m 2,270 €,24/12/2020,Arbëria (Dragodani)
16059,"Banese me qera ne Lagjen Pejton, prane Raiffeisen Bank #2213",Prishtine,2,60m 2,300 €,24/12/2020,Lakrishta
16060,"Banese me qera ne Lagjen Dardania, te Parku #2223",Prishtine,2,45m 2,200 €,24/12/2020,Dardania
16061,Ofrohet banesa me qira ne Lagjen Arbëria (Dragodan) !DELTA,Prishtine,3,93m 2,450 €,24/12/2020,Arbëria (Dragodani)
16062,Banes me qira Qender te Hotel Siriusi,Prishtine,1,0m 2,250 €,24/12/2020,Qendra
16063,Leshohet banesa me qira afer hotel afa ne qender,Prishtine,1,40m 2,230 €,24/12/2020,Qendra
16064,Banes me qira Qender Mbrapa Teatrit,Prishtine,1,0m 2,250 €,24/12/2020,Qendra
16065,Banes me qira Qender Mbrapa Teatrit,Prishtine,1,0m 2,250 €,24/12/2020,Qendra
16066,Banes me qira ne Qender te Hotel Siriusi,Prishtine,1,0m 2,250 €,24/12/2020,Qendra
16067,"Banes me qera Mati 1, 220€",Prishtine,1,0m 2,220 €,24/12/2020,Ulpiana 1
16068,Banese me qira ne L. Arberia Dragodan,Prishtine,2,85m 2,250 €,24/12/2020,Arbëria (Dragodani)
16069,Banese me qira ne Dardani,Prishtine,2,55m 2,260 €,24/12/2020,Dardania
16070,Banese - kat shtepie me qira te Mati 1,Prishtine,4,91m 2,220 €,24/12/2020,Ulpiana 1
16071,Banese me qira ne Qender te Hotel Siriusi,Prishtine,2,70m 2,200 €,24/12/2020,Qendra
16072,Banesa 45m2 me qira ne Ulpiane Rozi Patundshmeri,Prishtine,1,45m 2,240 €,24/12/2020,Ulpiana
16073,Banes me qira ne Qender Aktash,Prishtine,2,0m 2,270 €,24/12/2020,Qendra
16074,Banes me qira Tokbashqe te Gjergj Fishta,Prishtine,1,68m 2,230 €,24/12/2020,
16075,Banes me qira Arberi\Dragodan te Five Stari,Prishtine,2,93m 2,400 €,24/12/2020,Arbëria (Dragodani)
16076,Banese me qera 1+1 ne Sh.Zahir Pajaziti [Termokos],Prishtine,2,65m 2,230 €,24/12/2020,
16077,Banes me qera ne Fushe Kosove 150€ e Pa Mobiluar,Prishtine,2,70m 2,150 €,24/12/2020,Fushe Kosove
16078,Banes me qira ne Aktash,Prishtine,1,65m 2,500 €,24/12/2020,Aktash
16079,"Banes me qira ne L.Spitalit ""M1""",Prishtine,3,140m 2,600 €,24/12/2020,Lagjen e Spitalit
16080,"Banese me qira te shkolla Teknike ""M1""",Prishtine,4,115m 2,350 €,24/12/2020,
16081,"Banes me qera Bregu i Diellit 1+1, 250€",Prishtine,1,42m 2,250 €,24/12/2020,Kodra e Diellit
16082,Banes me qera,Prishtine,2,96m 2,450 €,23/12/2020,
16083,"Banes me qera Tophane, 2+1, 250€",Prishtine,2,77m 2,300 €,23/12/2020,Tophane
16084,Ipet banese me qera afer fakultetit TEKNIK,Prishtine,2,47m 2,200 €,23/12/2020,Fakultetit Teknik
16085,Ipet banese me qera afer fakultetit TEKNIK,Prishtine,2,0m 2,200 €,23/12/2020,Fakultetit Teknik
16086,"Banes me qera ne Dragodan, 2+1, 350€",Prishtine,2,77m 2,350 €,23/12/2020,Arbëria (Dragodani)
16087,"Banes me qera Ulpiane 2+1, 250€",Prishtine,2,70m 2,250 €,23/12/2020,Ulpiana
16088,Banes me qera ne Dragodan 2+1. 220€,Prishtine,2,0m 2,220 €,23/12/2020,Arbëria (Dragodani)
16089,Banes me qira Fushekosove,Prishtine,2,90m 2,200 €,23/12/2020,Fushe Kosove
16090,Gasonjerk me qera ne Dardani 200€,Prishtine,1,0m 2,200 €,23/12/2020,Dardania
16091,Leshohet banesa me qira ne lakrisht,Prishtine,1,50m 2,230 €,23/12/2020,Lakrishta
16092,Banes me qira Dardani te Bill Klinton,Prishtine,1,0m 2,200 €,23/12/2020,Dardania
16093,Banese me qira te Mati 1,Prishtine,4,100m 2,400 €,23/12/2020,Ulpiana 1
16094,Banese me qira te Rruga B,Prishtine,2,65m 2,250 €,23/12/2020,Rruga B
16095,Banese me qira te Parku i Qytetit,Prishtine,2,55m 2,220 €,23/12/2020,Lagjja e Muhaxherëve
16096,Banese me qira te Domi i Pleqve,Prishtine,3,85m 2,300 €,23/12/2020,Shtepia e Pleqve
16097,Banese me qira ne Ulpiane,Prishtine,2,55m 2,250 €,23/12/2020,Ulpiana
16098,Banese me qira ne Bregun e Diellit,Prishtine,2,50m 2,250 €,23/12/2020,Kodra e Diellit
16099,Banesë me qira në Arbëri ( Dragodan )📍,Prishtine,2,60m 2,230 €,23/12/2020,Arbëria (Dragodani)
16100,Banesë me qira në Dardani,Prishtine,3,80m 2,600 €,22/12/2020,Dardania
16101,"Banesë Luksoze me qira tek Sheshi ""Nena Tereze""",Prishtine,3,80m 2,"1,000 €",22/12/2020,Nena Tereze
16102,"Banesë Luksoze me qira në Arbëri-Dragodan, përball Rockuzinë",Prishtine,3,103m 2,550 €,22/12/2020,Arbëria (Dragodani)
16103,"Banesë (ZYRE) me qira në Ulpianë, mbrapa AAK-s📍",Prishtine,2,65m 2,250 €,22/12/2020,Ulpiana
16104,Banes me qera ne Qender 2+1,Prishtine,2,0m 2,400 €,22/12/2020,Qendra
16105,Banese me qira ne Ulpiane,Prishtine,2,40m 2,200 €,22/12/2020,Ulpiana
16106,Banese me qira ne Kalabri Emshir,Prishtine,2,85m 2,300 €,22/12/2020,Kalabria
16107,Banese me qira te 4 Llullat,Prishtine,2,55m 2,200 €,22/12/2020,4 Lullat
16108,Banese me qira te Rruga B,Prishtine,2,55m 2,250 €,22/12/2020,Rruga B
16109,Garsonjere me qira ne Ulpiane,Prishtine,1,40m 2,200 €,22/12/2020,Ulpiana
16110,Banese me qira ne Bregun e Diellit,Prishtine,3,87m 2,300 €,22/12/2020,Kodra e Diellit
16111,Banese me qira te Mati 1,Prishtine,2,72m 2,250 €,22/12/2020,Ulpiana 1
16112,Banese me qira te Sllovenia Sport,Prishtine,2,55m 2,230 €,22/12/2020,Sllovenia e Sportit
16113,Banese me qira ne Kalabri Emshir,Prishtine,3,87m 2,350 €,22/12/2020,Kalabria
16114,Banese me qira Lagjen e Muhaxherve,Prishtine,3,87m 2,300 €,22/12/2020,Lagjja e Muhaxherëve
16115,Banese me qira te Mati 1,Prishtine,2,65m 2,250 €,22/12/2020,Ulpiana 1
16116,Banes me qera Ulpiane 2+1,Prishtine,2,0m 2,250 €,22/12/2020,Ulpiana
16117,Banes me qera ne Ulpiane 220€ 2+1,Prishtine,2,0m 2,220 €,22/12/2020,Ulpiana
16118,Banesë me 2 dhoma gjumi 150 m2 në Aktash,Prishtine,2,150m 2,400 €,22/12/2020,Aktash
16119,Banesë me 2 dhoma gjumi me qira në lagjen Arbëria,Prishtine,0,75m 2,300 €,22/12/2020,Arbëria (Dragodani)
16120,"Banes me qera Bregu i Diellit 2+1, 200€",Prishtine,2,0m 2,200 €,22/12/2020,Kodra e Diellit
16121,"Banes me qera Mati 1, 200€",Prishtine,1,0m 2,200 €,22/12/2020,Ulpiana 1
16122,Banes me qera ne Ulpiane mbrapa AAKs 200€,Prishtine,2,40m 2,200 €,21/12/2020,Ulpiana
16123,"Banes me qera ne Dragodan afer Komunes se Re, 2+1, 400€",Prishtine,2,90m 2,400 €,21/12/2020,Arbëria (Dragodani)
16124,"Banes me qera ne Rrugen B , 2+1, 220€",Prishtine,2,80m 2,220 €,21/12/2020,Rruga B
16125,"Banes me qera Kalabri , 2+1, 350€ Me TERMOKOS",Prishtine,2,80m 2,350 €,21/12/2020,Kalabria
16126,"Banes me qera Mati 1, 1+1, 240€",Prishtine,1,60m 2,240 €,21/12/2020,Ulpiana 1
16127,Banes me qira Ulpiane 220€ Me TERMOKOS,Prishtine,1,0m 2,200 €,21/12/2020,Ulpiana
16128,Banes me qira te 4 Llullat,Prishtine,1,0m 2,220 €,21/12/2020,4 Lullat
16129,Banes me qira Qender te Sllovenia e Sportit 3+1,Prishtine,3,0m 2,450 €,21/12/2020,Qendra
16130,Banes me qera Bregu i Diellit 200€,Prishtine,1,0m 2,200 €,21/12/2020,Kodra e Diellit
16131,Banes me qera Qender te Sllovenia Sportit,Prishtine,2,0m 2,300 €,21/12/2020,Qendra
16132,Leshoj banesen me qira ne Arberi III,Prishtine,2,64m 2,260 €,21/12/2020,Arbëria (Dragodani)
16133,"Banes me qera ne Lagjen Dodona 2+1, 280€",Prishtine,2,120m 2,280 €,21/12/2020,Lagjja e Muhaxherëve
16134,Banesë me qira në Lagjen e Spitalit📍,Prishtine,3,105m 2,280 €,21/12/2020,Lagjen e Spitalit
16135,"Banesë me qira në Mati 1, mbrapa Royal Mallit📍",Prishtine,3,86m 2,250 €,21/12/2020,Ulpiana 1
16136,"Banesë me qira në Mati 1, mbrapa Royal Mallit📍",Prishtine,3,87m 2,300 €,21/12/2020,Ulpiana 1
16137,Banesë me qira në Emshir 📍,Prishtine,2,65m 2,280 €,21/12/2020,Kalabria
16138,Banesë me qira në Emshir 📍,Prishtine,3,92m 2,330 €,21/12/2020,Kalabria
16139,"Banesë me qira në Rrugen C, te Alko Group📍",Prishtine,3,80m 2,250 €,21/12/2020,Rruga C
16140,Banesë me qira në Ulpianë 📍,Prishtine,2,63m 2,300 €,21/12/2020,Ulpiana
16141,Banesa 55m2 me qira te Muhaxheret Rozi Patundshmeri,Prishtine,1,55m 2,240 €,21/12/2020,Lagjja e Muhaxherëve
16142,"Banese me qera ne lagjen Aktash,Prishtina Stars #2188",Prishtine,2,60m 2,350 €,21/12/2020,Aktash
16143,"Banese me qera ne lagjen Ulpiana, prane Fontanes #2195",Prishtine,1,40m 2,170 €,21/12/2020,Ulpiana
16144,"Banese me qera ne lagjen Qender, prapa Hotel Sirius #2199",Prishtine,3,76m 2,300 €,21/12/2020,Qendra
16145,"Banese me qera ne lagjen Ulpiana, prane AAK-se#2200",Prishtine,2,40m 2,240 €,21/12/2020,Ulpiana
16146,Banes me qera ne Breg te Diellit 2+1,Prishtine,2,0m 2,300 €,21/12/2020,Kodra e Diellit
16147,Banes me qera ne Dardani 2+1. 220€,Prishtine,2,0m 2,220 €,21/12/2020,Dardania
16148,Banes me Qira te 4 Llullat prane Xhamise !DELTA,Prishtine,3,72m 2,250 €,20/12/2020,4 Lullat
16149,Banes me qira ne Lakrishte afer Pro Credit Bankes !DELTA,Prishtine,3,73m 2,250 €,20/12/2020,Lakrishta
16150,Ofrohet banes me qira e cila gjendet në Aktash afer Kolegjit *Iliria* !DELTA,Prishtine,3,75m 2,300 €,20/12/2020,Aktash
16151,Leshohet banese me qira ne Ulpiane 1+1,Prishtine,1,44m 2,270 €,19/12/2020,Ulpiana
16152,Leshohet banese me qira ne Pejton 1+1,Prishtine,1,67m 2,350 €,19/12/2020,Lakrishta
16153,Leshohet banese me qira ne Dardani 1+1,Prishtine,1,60m 2,250 €,19/12/2020,Dardania
16154,Leshohet banese me Qira ne Arberi 1+1,Prishtine,1,60m 2,1 €,19/12/2020,Arbëria (Dragodani)
16155,"Banes me qera te Muhaxhert 1+1, 250€",Prishtine,1,60m 2,200 €,19/12/2020,
16156,Banes me qera ne Lakrishte 300 .,Prishtine,2,86m 2,300 €,19/12/2020,Lakrishta
16157,"Banes me qera Mati 1, 200€",Prishtine,1,0m 2,200 €,19/12/2020,Ulpiana 1
16158,"Banes me qera ne rrugen C, 250€",Prishtine,1,0m 2,250 €,19/12/2020,Rruga C
16159,Banes me qira,Prishtine,2,55m 2,200 €,19/12/2020,
16160,Banesa 85m2 me qira te Muhaxheret Rozi Patundshmeri,Prishtine,2,85m 2,320 €,19/12/2020,Lagjja e Muhaxherëve
16161,Banes me qera ne Emshir 2+1,Prishtine,2,0m 2,300 €,19/12/2020,Kalabria
16162,"Banes me qira ne Fushe Kosove, rruga ""Dardania""",Prishtine,3,75m 2,250 €,19/12/2020,Dardania
16163,"Banesë me qira në Rrugën B, mbi MATISSE",Prishtine,3,110m 2,800 €,18/12/2020,Ulpiana 1
16164,"Banesë me qira në Rrugën B, mbi MATISSE",Prishtine,3,90m 2,500 €,18/12/2020,Ulpiana 1
16165,Banes me qira,Prishtine,2,55m 2,200 €,18/12/2020,
16166,"Zyre me QIRA në shesh, përballë Ministrisë së Kulturës",Prishtine,3,80m 2,800 €,18/12/2020,
16167,Banesa 90m2 me qira te Mati 1 Rozi Patundshmeri,Prishtine,2,80m 2,250 €,18/12/2020,Ulpiana 1
16168,Banesa 60m2 me qira te Sllovenia Sport Rozi Patundshmeri,Prishtine,1,60m 2,270 €,18/12/2020,Sllovenia e Sportit
16169,"Banese me qera ne lagjen e Muhaxhereve, tek kulla e Muhaxhereve #2189",Prishtine,3,83m 2,330 €,18/12/2020,Lagjja e Muhaxherëve
16170,Banes me qira ne Dardani te Posta 2+1 220€,Prishtine,0,0m 2,220 €,18/12/2020,Dardania
16171,"Banese me qera te Parku i Qytetit, peball Parkut #2202",Prishtine,3,80m 2,300 €,18/12/2020,Lagjja e Muhaxherëve
16172,Banes me qira ne Emshir 2+1,Prishtine,2,0m 2,350 €,18/12/2020,Kalabria
16173,"Banes me qera ne Lagjen Ulpiana, prane AAK-se #2154",Prishtine,2,55m 2,250 €,18/12/2020,Ulpiana
16174,"Banese me qera ne Lagjen Bregu i Diellit, tek banesat e Bardha, prapa Xhamise #2182",Prishtine,3,65m 2,280 €,18/12/2020,Kodra e Diellit
16175,"Banes/Garsionere me qera ne Lagjen Arberia ( Dragodan ), prane Komunes se Re#2204",Prishtine,1,33m 2,200 €,18/12/2020,Arbëria (Dragodani)
16176,"Leshohet banesa me qira, ne lagjjen e Muhaxhereve (përballë Hotel AFA) Trio Construction !DELTA",Prishtine,3,86m 2,300 €,18/12/2020,Lagjja e Muhaxherëve
16177,"Ofrohet Banesa me qira te Qafa Rr. UÇK, perball De Factos !DELTA",Prishtine,2,52m 2,270 €,18/12/2020,Qafa
16178,Banes me qira mrapa Teatrit Kombtar !DELTA,Prishtine,2,55m 2,250 €,18/12/2020,Mrapa Teatrit
16179,Banes me qira ne Qender te Xhamia e Llapit !DELTA,Prishtine,2,50m 2,250 €,18/12/2020,Qendra
16180,Banese me qira ne Lakrishte,Prishtine,2,65m 2,300 €,17/12/2020,Lakrishta
16181,Banese me qira ne Lakrishte,Prishtine,3,85m 2,330 €,17/12/2020,Lakrishta
16182,Banese me qira ne Lakrishte,Prishtine,3,85m 2,400 €,17/12/2020,Lakrishta
16183,Banes me qera ne Dragodan 2+1,Prishtine,2,0m 2,400 €,17/12/2020,Arbëria (Dragodani)
16184,Ofrohet me qira Banesa 60m2 afer Rruges B ! DELTA,Prishtine,2,60m 2,250 €,17/12/2020,
16185,Ofrohet per Shitje Banesa 91m2 te Prishtina e re ! DELTA,Prishtine,3,91m 2,"67,340 €",17/12/2020,Ulpiana 1
16186,Banes me qera ne Dardani,Prishtine,1,0m 2,280 €,17/12/2020,Dardania
16187,Ofrohet me qira Banesa 90m2 ne Breg Diellit ! DELTA,Prishtine,3,90m 2,300 €,17/12/2020,Kodra e Diellit
16188,"Banese me qera ne lagjen Qender, prapa Hotel Sirius #2199",Prishtine,3,76m 2,300 €,17/12/2020,Qendra
16189,"Banese me qera ne Lagjen Kalabria ( Emshir ), prane Gjelltores Nazi #2221",Prishtine,3,60m 2,300 €,17/12/2020,Dardania
16190,"Banese me qera ne Lagjen Pejton, ndertesa e Ramiz Sadikut #2219",Prishtine,3,92m 2,400 €,17/12/2020,Lakrishta
16191,Banes me qera ne Dardani 2+1,Prishtine,2,0m 2,300 €,17/12/2020,Dardania
16192,Banesa ne Daradani mbrapa Bill Clintonit 250 euro,Prishtine,2,45m 2,250 €,17/12/2020,
16193,"Jap me qera banesen ne Arberi, afer Qafes",Prishtine,3,85m 2,250 €,17/12/2020,Arbëria (Dragodani)
16194,Banes me qera ne Emshir \ Kalabri 200€,Prishtine,1,0m 2,200 €,17/12/2020,Kalabria
16195,Banes me qera te Xhamia Llapit 200€ 2+1,Prishtine,2,0m 2,200 €,16/12/2020,
16196,"Banesme qera ne rrugen C, 230€",Prishtine,1,0m 2,230 €,16/12/2020,Rruga C
16197,"Banes me qera ne Lagjen Mati 1, afer rruges B #2209",Prishtine,3,80m 2,270 €,16/12/2020,Ulpiana 1
16198,Banes \ Zyre me qera ne rrugen C,Prishtine,4,0m 2,350 €,16/12/2020,Rruga C
16199,Banes me qera ne Dardani 2+1,Prishtine,2,0m 2,240 €,16/12/2020,Dardania
16200,Banes me qera ne Dardani 180€,Prishtine,1,0m 2,180 €,16/12/2020,Dardania
16201,Banese me qira ne Arberi Dragodan,Prishtine,2,55m 2,230 €,16/12/2020,Arbëria (Dragodani)
16202,Banese me qira ne Arberi Dragodan,Prishtine,2,60m 2,230 €,16/12/2020,Arbëria (Dragodani)
16203,Ofrohet banesa komode me qira ne Lagjen Lakrishte !DELTA,Prishtine,2,60m 2,300 €,16/12/2020,Lakrishta
16204,Banes me qera ne Ulpiane,Prishtine,1,0m 2,250 €,16/12/2020,Ulpiana
16205,"Banes me qera ne lagjen e Muhaxherve 2+1, 300€",Prishtine,2,0m 2,300 €,16/12/2020,Lagjja e Muhaxherëve
16206,Ofrohet me qira Banesa 65m2 te Bill Clintoni ! DELTA,Prishtine,2,65m 2,250 €,15/12/2020,
16207,Banese me qira te Rruga B,Prishtine,2,50m 2,220 €,15/12/2020,Rruga B
16208,Banese me qira te Parku i Qytetit,Prishtine,2,50m 2,200 €,15/12/2020,Lagjja e Muhaxherëve
16209,Garsonjere me qira ne Ulpiane,Prishtine,1,24m 2,150 €,15/12/2020,Ulpiana
16210,Banese me qira ne Ulpiane,Prishtine,3,70m 2,350 €,15/12/2020,Ulpiana
16211,Banes me qira Aktash,Prishtine,2,0m 2,300 €,15/12/2020,Aktash
