,title,region,number_of_rooms,quadrat,price,date,Neighborhood
173,Banes me qira Mrapa Teatrit Kombetare 2+1,Prishtine,2,100m 2,300 €,10/07/2023,Mrapa Teatrit
174,Banes me qira ne Dardani 3+1,Prishtine,3,100m 2,300 €,10/07/2023,Dardania
175,Banes moderne me qira te Sllovenia Sporti,Prishtine,2,80m 2,300 €,10/07/2023,Sllovenia e Sportit
176,Banes moderne me qira ne Lagje te Spitalit,Prishtine,2,80m 2,280 €,10/07/2023,Lagjen e Spitalit
177,Banes me qira ne Arberi-Komuna e re,Prishtine,1,60m 2,300 €,10/07/2023,Arbëria (Dragodani)
178,Leshohet me qira super banese ne lagjen Dardania,Prishtine,5,140m 2,800 €,10/07/2023,Dardania
179,Ipet banese me qira te rruga B,Prishtine,2,90m 2,220 €,10/07/2023,Rruga B
180,Leshohet banese me qira ne lagjen Dardania,Prishtine,2,75m 2,300 €,10/07/2023,Dardania
181,Super banese me qira ne lagjen Pejton,Prishtine,2,80m 2,450 €,10/07/2023,Lakrishta
182,Leshohet banese me qira ne lagjen e Muhaxherve,Prishtine,1,60m 2,250 €,10/07/2023,Lagjja e Muhaxherëve
183,Super banese me qira ne lagjen e Spitalit,Prishtine,2,106m 2,500 €,10/07/2023,Lagjen e Spitalit
184,Leshohet banese me qira te Qafa,Prishtine,2,85m 2,270 €,10/07/2023,Qafa
185,Leshohet banese me qira afer parkut te qytetit,Prishtine,2,75m 2,250 €,10/07/2023,Lagjja e Muhaxherëve
186,Leshohet banese me qira ne Lagjen e Spitalit,Prishtine,1,73m 2,250 €,10/07/2023,Lagjen e Spitalit
187,Banese me qira ne Lagjen e Spitalit,Prishtine,1,60m 2,250 €,10/07/2023,Lagjen e Spitalit
188,Banes Komode me Qira ne Mat te Shk.F. Pavarsia,Prishtine,2,90m 2,430 €,10/07/2023,Ulpiana 1
189,Super Banes me Qira ne Fushe Kosove Perball Bau Marketit,Fushe Kosove,2,76m 2,250 €,10/07/2023,Fushe Kosove
190,Banes 3 Dhomshe me Qira ne Tophane,Prishtine,3,100m 2,550 €,10/07/2023,Tophane
191,Leshohet me qira banesa ne lagjen Mati 1,Prishtine,1,55m 2,220 €,10/07/2023,Ulpiana 1
192,Super banese me qira ne Qender,Prishtine,3,130m 2,700 €,10/07/2023,Qendra
193,Super Banes me Qira ne Aktash te Pika Luxury,Prishtine,1,45m 2,350 €,10/07/2023,Aktash
194,Super Banes me Qira ne Dardani te Narteli - 130 M2,Prishtine,2,130m 2,630 €,10/07/2023,Dardania
